release,commit,patch_name,priority,comments
unreleased,9b1a6b7583cb,"smb: client: make use of smbdirect_socket.send_io.credits.{count,wait_queue}",,
unreleased,ca48841de93c,"smb: client: make use of smbdirect_socket.send_io.pending.{count,{dec,zero}_wait_queue}",,
unreleased,a51c67db2c9e,smb: client: make use of smbdirect_socket.disconnect_work,,
unreleased,7360778b6f96,smb: client: make use of smbdirect_socket_init(),,
unreleased,5a0d5ae65c12,smb: client: make only use of wake_up[_all]() in smbdirect.c,,
unreleased,d9140ef07423,smb: client: make use of smbdirect_socket.status_wait,,
unreleased,4ff3fa4e4aa7,"smb: client: use status_wait and SMBDIRECT_SOCKET_RESOLVE_{ADDR,ROUTE}_RUNNING for completion",,
unreleased,00e4c7a87d1f,smb: client: use status_wait and SMBDIRECT_SOCKET_NEGOTIATE_RUNNING for completion,,
unreleased,afff34dc025b,smb: client: adjust smbdirect related output of cifs_debug_data_proc_show(),,
unreleased,f5b893edde7b,smb: smbdirect: introduce smbdirect_socket.first_error,,
unreleased,cc678b8a8929,smb: client/smbdirect: introduce SMBDIRECT_SOCKET_ERROR,,
unreleased,58dfba8a2d4e,smb: client/smbdirect: replace SMBDIRECT_SOCKET_CONNECTING with more detailed states,,
unreleased,ef71f1e04648,smb: client: fix sending the iwrap custom IRD/ORD negotiation messages,,
unreleased,6920b4ad49fc,smb: smbdirect: let smbdirect_socket_init() initialize all [delayed_]work_structs as disabled,,
unreleased,ed3350f09d2c,smb: smbdirect: introduce smbdirect_socket.mr_io.*,,
unreleased,41e5086905a3,smb: smbdirect: introduce smbdirect_socket_parameters.max_frmr_depth,,
unreleased,02c39c0121d2,smb: smbdirect: introduce struct smbdirect_mr_io,,
unreleased,6c5b0f9253d7,smb: smbdirect: introduce smbdirect_socket.workqueue,,
unreleased,6889d2f5caa6,smb: smbdirect: introduce smbdirect_socket.statistics,,
unreleased,89bae05f9df6,"smb: smbdirect: introduce smbdirect_socket.idle.{keepalive,immediate_work,timer_work}",,
unreleased,2baedb2026a5,smb: smbdirect: introduce smbdirect_socket.rdma.legacy_iwarp,,
unreleased,8e34a763870d,"smb: smbdirect: introduce smbdirect_socket_parameters.{initiator_depth,responder_resources}",,
unreleased,932fa15c3726,"smb: smbdirect: introduce smbdirect_socket_parameters.{resolve_{addr,route},rdma_connect,negotiate}_timeout_msec",,
unreleased,ec76e3cc6bbc,"smb: smbdirect: introduce smbdirect_socket.recv_io.{posted,credits}",,
unreleased,b5a4242fb902,smb: smbdirect: introduce struct smbdirect_rw_io,,
unreleased,90255ed46774,smb: smbdirect: introduce smbdirect_socket.rw_io.credits,,
unreleased,cce93d2d0ccc,smb: smbdirect: introduce struct smbdirect_send_batch,,
unreleased,2191b3471df5,"smb: smbdirect: introduce smbdirect_socket.send_io.credits.{count,wait_queue}",,
unreleased,3b7be44a0eb1,"smb: smbdirect: introduce smbdirect_socket.send_io.pending.{count,{dec,zero}_wait_queue}",,
unreleased,de32f33c0365,smb: smbdirect: introduce smbdirect_socket.disconnect_work,,
unreleased,17e1d07430e4,smb: smbdirect: introduce smbdirect_socket_init(),,
unreleased,371d3ab51ce4,smb: smbdirect: introduce smbdirect_socket.status_wait,,
unreleased,1e2f487584ed,smb: smbdirect: introduce smbdirect_socket_status_string(),,
v6.17,fbe2dc6a9c73,smb: client: fix wrong index reference in smb2_compound_op(),,
v6.17,1cf9f2a6a544,smb: client: handle unlink(2) of files open by different clients,,
unreleased,69635d7f4b34,fs: WQ_PERCPU added to alloc_workqueue users,,
v6.17,daac51c70320,smb: client: fix smbdirect_recv_io leak in smbd_negotiate() error path,,
v6.17,251090e2c2c1,smb: client: fix file open check in __cifs_unlink(),,
v6.17,d9dcbbcf9145,smb: client: let smbd_destroy() call disable_work_sync(&info->post_send_credits_work),,
v6.17,bac28f604c76,smb: client: use disable[_delayed]_work_sync in smbdirect.c,,
v6.17,93ed9a295130,smb: client: fix filename matching of deferred files,,
v6.17,f57e53ea2523,"smb: client: let recv_done verify data_offset, data_length and remaining_data_length",,
unreleased,f99b3917789d,fs: rename generic_delete_inode() and generic_drop_inode(),,
v6.17,c5ea3065586d,smb: client: fix data loss due to broken rename(2),,
v6.17,90f7c100d2dd,smb: client: fix compound alignment with encryption,,
v6.17,70bccd9855da,cifs: prevent NULL pointer dereference in UTF16 conversion,,
v6.17,91be128b496c,smb: client: show negotiated cipher in DebugData,,
v6.17,72595cb6da18,smb: client: add new tracepoint to trace lease break notification,,
v6.17,0c3813d855b2,smb: client: fix spellings in comments,,
unreleased,37b27bd5d621,fs: add an icount_read helper,,
v6.17,6976c7a69daf,smb: client: Fix NULL pointer dereference in cifs_debug_dirs_proc_show(),,
v6.17,ab529e6ca1f6,fs/smb: Fix inconsistent refcnt update,,
v6.17,0e08fa789d39,smb3 client: fix return code mapping of remap_file_range,,
v6.17,453a6d2a68e5,cifs: Fix oops due to uninitialised variable,,
v6.17,e19d8dd694d2,smb: client: remove redundant lstrp update in negotiate protocol,,
v6.17,e3f776d30a56,cifs: update internal version number,,
v6.17,8c48e1c75203,smb: client: don't wait for info->send_pending == 0 on error,,
v6.17,e3835731e169,smb: client: fix mid_q_entry memleak leak with per-mid locking,,
v6.17,7d34ec36abb8,smb3: fix for slab out of bounds on mount to ksmbd,,
v6.17,d7f1affc556e,cifs: avoid extra calls to strlen() in cifs_get_spnego_key(),,
v6.17,b63335fb3d32,cifs: Fix collect_sample() to handle any iterator type,,
v6.17,d84291fc7453,smb: client: fix race with concurrent opens in rename(2),,
v6.17,0af1561b2d60,smb: client: fix race with concurrent opens in unlink(2),,
v6.17,dfe6f14aedbf,smb: client: only use a single wait_queue to monitor smbdirect connection status,,
v6.17,550a194c5998,smb: client: don't call init_waitqueue_head(&info->conn_wait) twice in _smbd_get_connection,,
v6.17,7.614E+11,smb: client: improve logging in smbd_conn_upcall(),,
v6.17,03537826f77f,smb: client: return an error if rdma_connect does not return within 5 seconds,,
v6.17,bef82d5848da,"smb: client: make use of smbdirect_socket.{send,recv}_io.mem.{cache,pool}",,
v6.17,5ef8278e3734,"smb: smbdirect: add smbdirect_socket.{send,recv}_io.mem.{cache,pool}",,
v6.17,977ea06fddda,smb: client: make use of struct smbdirect_send_io,,
v6.17,92ac696be763,smb: smbdirect: introduce struct smbdirect_send_io,,
v6.17,8b5964a1188f,smb: client: make use of SMBDIRECT_RECV_IO_MAX_SGE,,
v6.17,3515aa6e4307,smb: smbdirect: add SMBDIRECT_RECV_IO_MAX_SGE,,
v6.17,b126645b7954,smb: client: remove unused enum smbd_connection_status,,
v6.17,61b4918e4ea1,smb: client: make use of smbdirect_socket.recv_io.reassembly.*,,
v6.17,b7ffb4d2a036,smb: smbdirect: introduce smbdirect_socket.recv_io.reassembly.*,,
v6.17,59500450843a,"smb: client: make use of smb: smbdirect_socket.recv_io.free.{list,lock}",,
v6.17,d0df32a3025c,"smb: smbdirect: introduce smbdirect_socket.recv_io.free.{list,lock}",,
v6.17,5dddf0497445,smb: client: make use of struct smbdirect_recv_io,,
v6.17,60812d20da82,smb: smbdirect: introduce struct smbdirect_recv_io,,
v6.17,bbdbd9ae4715,smb: client: make use of smbdirect_socket->recv_io.expected,,
v6.17,33dd53a90e34,smb: smbdirect: introduce smbdirect_socket.recv_io.expected,,
v6.17,0edf9fc0a344,smb: client: remove unused smbd_connection->fragment_reassembly_remaining,,
v6.17,24eff17887cb,smb: client: let recv_done() avoid touching data_transfer after cleanup/move,,
v6.17,bdd7afc6dca5,smb: client: let recv_done() cleanup before notifying the callers.,,
v6.17,047682c370b6,smb: client: make sure we call ib_dma_unmap_single() only if we called ib_dma_map_single already,,
v6.17,24b6afc36db7,smb: client: remove separate empty_packet_queue,,
v6.17,5349ae5e05fa,smb: client: let send_done() cleanup before calling smbd_disconnect_rdma_connection(),,
v6.17,b0b73329ebee,cifs: Fix null-ptr-deref by static initializing global lock,,
v6.17,1cdd5a2626d8,cifs: Move the SMB1 transport code out of transport.c,,
v6.17,3fd8ec2fc93b,smb: client: smb: client: eliminate mid_flags field,,
v6.17,9bd42798d5bf,smb: client: add mid_counter_lock to protect the mid counter counter,,
v6.17,f3ba7c9b0421,smb: client: rename server mid_lock to mid_queue_lock,,
v6.17,5b432ae5dff5,smb: client: fix creating symlinks under POSIX mounts,,
v6.17,6b445309eec2,smb: client: default to nonativesocket under POSIX mounts,,
v6.17,a967e758f8e9,smb: client: set symlink type as native for POSIX mounts,,
v6.17,844e5c0eb176,smb3 client: add way to show directory leases for improved debugging,,
v6.17,28f09823de92,smb: client: get rid of kstrdup() when parsing iocharset mount option,,
v6.17,60c9511253d5,smb: client: get rid of kstrdup() when parsing domain mount option,,
v6.17,1b6075ebd34d,smb: client: get rid of kstrdup() when parsing pass2 mount option,,
v6.17,524fa5bcc384,smb: client: get rid of kstrdup() when parsing pass mount option,,
v6.17,e5acab35feff,smb: client: get rid of kstrdup() when parsing user mount option,,
v6.17,309c2b776c87,cifs: Add support for creating reparse points over SMB1,,
v6.17,75d519b0b52a,cifs: Do not query WSL EAs for native SMB symlink,,
v6.17,b62a206bfbf3,cifs: Optimize CIFSFindFirst() response when not searching,,
v6.17,b460249b9a1d,cifs: Fix calling CIFSFindFirst() for root path without msearch,,
v6.17,33cfdd726381,smb: client: fix session setup against servers that require SPN,,
v6.17,be77ab6b9fbe,smb: client: allow parsing zero-length AV pairs,,
v6.17,3edc68de5629,cifs: add new field to track the last access time of cfid,,
v6.17,2aaf1784835f,smb: change return type of cached_dir_lease_break() to bool,,
v6.17,9d5eff7821f6,cifs: reset iface weights when we cannot find a candidate,,
v6.17,59b33fab4ca4,smb: client: fix netns refcount leak after net_passive changes,,
v6.16,8767cb3fbd51,Fix SMB311 posix special file creation to servers which do not advertise reparse support,,
v6.16,83898e4a8583,smb: invalidate and close cached directory when creating child entries,,
v6.16,b220bed63330,smb: client: fix use-after-free in crypt_message when using async crypto,,
v6.16,705c79101ccf,smb: client: fix use-after-free in cifs_oplock_break,,
v6.16,3363da82e02f,smb: client: fix native SMB symlink traversal,,
v6.16,266b5d02e14f,smb: client: fix race condition in negotiate timeout by using more precise timing,,
v6.16,90b3ccf51457,netfs: Update tracepoints in a number of ways,,
v6.16,74ee76bea4b4,smb: client: set missing retry flag in cifs_writev_callback(),,
v6.16,0e60bae24ad2,smb: client: set missing retry flag in cifs_readv_callback(),,
v6.16,e67e75edeb88,smb: client: set missing retry flag in smb2_writev_callback(),,
v6.16,74ebd02163fd,cifs: all initializations for tcon should happen in tcon_info_alloc,,
v6.16,3bbe46716092,smb: client: fix warning when reconnecting channel,,
v6.16,b8f89cb723b9,smb: client: fix readdir returning wrong type with POSIX extensions,,
v6.16,263debecb4aa,cifs: Fix reading into an ITER_FOLIOQ from the smbdirect code,,
v6.16,43e7e284fc77,cifs: Fix the smbd_response slab to allow usercopy,,
v6.16,711741f94ac3,smb: client: fix potential deadlock when reconnecting channels,,
v6.16,e97f9540ce00,smb: client: remove \t from TP_printk statements,,
v6.16,1944f6ab4967,smb: client: let smbd_post_send_iter() respect the peers max_send_size and transmit all data,,
v6.16,ff8abbd248c1,smb: client: fix regression with native SMB symlinks,,
v6.16,27e9d5d021db,smb: minor fix to use SMB2_NTLMV2_SESSKEY_SIZE for auth_key size,,
v6.16,4d360cfe8cba,smb: minor fix to use sizeof to initialize flags_string buffer,,
v6.16,4eb11a34b72c,smb: Use loff_t for directory position in cached_dirents,,
v6.16,a2182743a8b4,smb: Log an error when close_all_cached_dirs fails,,
v6.16,2c4fd3d14146,cifs: Fix prepare_write to negotiate wsize if needed,,
v6.16,a379a8a2a003,smb: client: fix max_sge overflow in smb_extract_folioq_to_rdma(),,
v6.16,34331d7beed7,smb: client: fix first command failure during re-negotiation,,
v6.17,9d5403b1036c,fs: convert most other generic_file_*mmap() users to .mmap_prepare(),,
v6.16,840738eae948,cifs: Remove duplicate fattr->cf_dtype assignment from wsl_to_fattr() function,,
v6.16,306cb65bb0cb,smb: fix secondary channel creation issue with kerberos by populating hostname when adding channels,,
v6.16,72dd7961a4bb,smb: improve directory cache reuse for readdir operations,,
v6.16,b64af6bcd3b0,smb: client: fix perf regression with deferred closes,,
